satellite,date,lon,lat,id,evi2,QA_PIXEL
LANDSAT/LT05/C02/T1_L2,1991-10-29,43.945733,-71.700975,0,,
LANDSAT/LT05/C02/T1_L2,1991-10-29,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,1991-10-29,43.950917,-71.728739,2,,
LANDSAT/LT05/C02/T1_L2,1991-10-29,43.958947,-71.731661,3,-0.14503761122259812,5440
LANDSAT/LT05/C02/T1_L2,1991-10-29,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,1991-10-29,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,1991-10-29,43.955547,-71.742178,6,,
LANDSAT/LT05/C02/T1_L2,1991-10-29,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,1991-10-29,43.918358,-71.769733,8,,
LANDSAT/LT05/C02/T1_L2,1998-09-30,43.945733,-71.700975,0,,
LANDSAT/LT05/C02/T1_L2,1998-09-30,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,1998-09-30,43.950917,-71.728739,2,,
LANDSAT/LT05/C02/T1_L2,1998-09-30,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,1998-09-30,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,1998-09-30,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,1998-09-30,43.955547,-71.742178,6,,
LANDSAT/LT05/C02/T1_L2,1998-09-30,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,1998-09-30,43.918358,-71.769733,8,,
LANDSAT/LT05/C02/T1_L2,1999-01-04,43.945733,-71.700975,0,,
LANDSAT/LT05/C02/T1_L2,1999-01-04,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,1999-01-04,43.950917,-71.728739,2,,
LANDSAT/LT05/C02/T1_L2,1999-01-04,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,1999-01-04,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,1999-01-04,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,1999-01-04,43.955547,-71.742178,6,,
